GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3,0.0,-0.0,0.0,0.0,0.0,0.0,-24.71,-2.06,-0.0,0.0,14.29,-3.57,-26.78,10.72,-16.06
4,0.0,0.0,-0.0,-0.0,0.0,0.0,-26.71,-0.12,-0.0,-0.0,12.3,-3.71,-26.82,8.6,-18.22
5,-0.0,0.0,-0.0,0.0,0.0,0.0,-25.75,-1.93,-0.0,-0.0,12.89,-3.79,-27.68,9.1,-18.57
6,-0.0,0.0,-0.0,0.0,0.0,0.0,-25.45,-2.06,0.0,0.0,13.83,-3.76,-27.5,10.07,-17.44
7,-0.0,0.0,0.0,0.0,0.0,0.0,-26.17,-6.77,-0.0,-0.0,14.37,-3.85,-32.94,10.51,-22.43
8,-0.0,0.0,0.0,0.0,0.0,0.0,-24.16,-3.67,0.0,0.0,13.42,-3.71,-27.83,9.71,-18.12
9,-0.0,-0.0,-0.0,0.0,0.0,0.0,-25.99,-1.74,-0.0,-0.0,12.17,-3.74,-27.73,8.43,-19.3
10,-0.0,0.0,-0.0,-0.0,0.0,0.0,-24.18,-2.45,0.0,-0.0,12.84,-3.77,-26.63,9.07,-17.57
11,0.0,0.0,0.0,-0.0,0.0,0.0,-26.29,-3.82,0.0,0.0,13.09,-3.74,-30.11,9.35,-20.76


